probleme;HSPlength;RWlength
p001.pddl;6;6
p002.pddl;10;10
p003.pddl;6;6
p004.pddl;12;10
p005.pddl;10;10
p006.pddl;16;10
p007.pddl;12;10
p008.pddl;10;10
p009.pddl;20;10
p010.pddl;20;10
p011.pddl;22;10
p012.pddl;20;10
p013.pddl;18;10
p014.pddl;20;10
p015.pddl;16;10
p016.pddl;30;10
p017.pddl;28;10
p018.pddl;26;10
p019.pddl;34;10
p020.pddl;32;10
