probleme;HSPtemps;RWtemps
p01.pddl;71;8
p02.pddl;37;6
p03.pddl;151;3
p04.pddl;548;3
p05.pddl;3531;7
p06.pddl;48834;5
p07.pddl;;36
p08.pddl;;64
p09.pddl;;71
p10.pddl;;80
p11.pddl;;79
p12.pddl;;89
p13.pddl;;97
p14.pddl;;94
p15.pddl;;126
p16.pddl;;91
p17.pddl;;79
p18.pddl;;100
p19.pddl;;94
p20.pddl;;125
