probleme;HSPtemps;RWtemps
p01.pddl;2700;78
p02.pddl;;204
p03.pddl;;1131
p04.pddl;;2031
p05.pddl;4838;112
p06.pddl;;7179
p07.pddl;;330
p08.pddl;;
p09.pddl;;5879
p10.pddl;;3471
p11.pddl;;205
p12.pddl;;20446
p13.pddl;;
p14.pddl;;2959
p15.pddl;;298
p16.pddl;;2199
p17.pddl;;629
p18.pddl;;
p19.pddl;;
p20.pddl;;
