probleme;HSPtemps;RWtemps
p001.pddl;48;12
p002.pddl;7;14
p003.pddl;0;16
p004.pddl;0;0
p005.pddl;0;16
p006.pddl;0;16
p007.pddl;0;0
p008.pddl;0;15
p009.pddl;47;0
p010.pddl;32;0
p011.pddl;138;0
p012.pddl;33;5
p013.pddl;31;15
p014.pddl;79;0
p015.pddl;15;0
p016.pddl;2870;15
p017.pddl;221;26
p018.pddl;242;16
p019.pddl;194574;8
p020.pddl;12216;7
